Название статьи;Текст
Статья 51. Ограничение по военной службе;УК РФ Статья 51. Ограничение по военной службе 1.Ограничениепо военной службе назначается осужденным военнослужащим, проходящим военную службу по контракту, на срок от трех месяцев до двух лет в случаях, предусмотренных соответствующими статьямиОсобенной частинастоящего Кодекса за совершение преступлений против военной службы, а также осужденным военнослужащим, проходящим военную службу по контракту, вместо исправительных работ, предусмотренных соответствующими статьямиОсобенной частинастоящего Кодекса. 2. Из денежного довольствия осужденного к ограничению по военной службе производятся удержания в доход государства в размере, установленном приговором суда, но не свыше двадцати процентов. Во время отбывания этого наказания осужденный не может быть повышен в должности, воинском звании, а срок наказания не засчитывается в срок выслуги лет для присвоения очередного воинского звания.
Статья 52. Утратила силу;Статья 52. Утратила силу. - Федеральныйзаконот 08.12.2003 N 162-ФЗ.
Статья 53. Ограничение свободы;УК РФ Статья 53. Ограничение свободы  (в ред. Федеральногозаконаот 27.12.2009 N 377-ФЗ) (см. текст в предыдущейредакции)  1.Ограничение свободызаключается в установлении судом осужденному следующихограничений: не уходить из места постоянного проживания (пребывания) в определенное время суток, не посещать определенные места, расположенные в пределах территории соответствующего муниципального образования, не выезжать за пределы территории соответствующего муниципального образования, не посещать места проведения массовых и иных мероприятий и не участвовать в указанных мероприятиях, не изменять место жительства или пребывания, место работы и (или) учебы без согласияспециализированного государственного органа, осуществляющего надзор за отбыванием осужденными наказания в виде ограничения свободы, в случаях, предусмотренныхзаконодательствомРоссийской Федерации. При этом суд возлагает на осужденного обязанность являться в специализированный государственный орган, осуществляющий надзор за отбыванием осужденными наказания в виде ограничения свободы, от одного до четырех раз в месяц для регистрации. Установление судом осужденному ограничений на изменение места жительства или пребывания без согласия указанного специализированного государственного органа, а также на выезд за пределы территории соответствующего муниципального образования является обязательным. 2. Ограничение свободы назначается на срок от двух месяцев до четырех лет в качестве основного вида наказания запреступления небольшой тяжестиипреступления средней тяжести, а также на срок от шести месяцев до двух лет в качестве дополнительного вида наказания к принудительным работам или лишению свободы в случаях, предусмотренных соответствующими статьямиОсобенной частинастоящего Кодекса. 3. В период отбывания ограничения свободы суд попредставлениюспециализированного государственного органа, осуществляющего надзор за отбыванием осужденными наказания в виде ограничения свободы, может отменить частично либодополнитьранее установленные осужденному ограничения. 4. Надзор за осужденным, отбывающим ограничение свободы, осуществляется впорядке, предусмотренном уголовно-исполнительным законодательством Российской Федерации, а также издаваемыми в соответствии с ним нормативными правовымиактамиуполномоченных федеральных органов исполнительной власти. 5. В случаезлостного уклоненияосужденного от отбывания ограничения свободы, назначенного в качестве основного вида наказания, суд по представлению специализированного государственного органа, осуществляющего надзор за отбыванием осужденными наказания в виде ограничения свободы, может заменить неотбытую часть наказания принудительными работами или лишением свободы из расчета один день принудительных работ за два дня ограничения свободы или один день лишения свободы за два дня ограничения свободы. 6. Ограничение свободы не назначается военнослужащим, иностранным гражданам, лицам без гражданства, а также лицам, не имеющим места постоянного проживания на территории Российской Федерации. 
Статья 53.1. Принудительные работы;УК РФ Статья 53.1. Принудительные работы  (введена Федеральнымзакономот 07.12.2011 N 420-ФЗ)  1. Принудительные работы применяются как альтернатива лишению свободы в случаях, предусмотренных соответствующими статьямиОсобенной частинастоящего Кодекса, за совершение преступлениянебольшойилисреднейтяжести либо за совершениетяжкогопреступления впервые. 2. Если, назначив наказание в виде лишения свободы, суд придет к выводу о возможности исправления осужденного без реального отбывания наказания в местах лишения свободы, он постановляет заменить осужденному наказание в виде лишения свободы принудительными работами. При назначении судом наказания в виде лишения свободы на срок более пяти лет, за исключением случаев замены наказания в виде лишения свободы принудительными работами в соответствии состатьей 80настоящего Кодекса, принудительные работы не применяются. 3. Принудительные работы заключаются в привлечении осужденного к труду в местах, определяемых учреждениями и органами уголовно-исполнительной системы. 4. Принудительные работы назначаются на срок от двух месяцев до пяти лет, за исключением случаев замены наказания в виде лишения свободы принудительными работами в соответствии состатьей 80настоящего Кодекса. 5. Из заработной платы осужденного к принудительным работам производятся удержания в доход государства, перечисляемые на счет соответствующего территориального органа уголовно-исполнительной системы, в размере, установленном приговором суда, и в пределах от пяти до двадцати процентов. 6. В случае уклонения осужденного от отбывания принудительных работ либо признания осужденного к принудительным работам злостным нарушителем порядка и условий отбывания принудительных работ неотбытая часть наказания заменяется лишением свободы из расчета один день лишения свободы за один день принудительных работ. 7. Принудительные работы не назначаются несовершеннолетним, лицам, признанным инвалидами первой или второй группы, беременным женщинам, женщинам, имеющим детей в возрасте до трех лет, лицам, достигшим возраста, дающего право на назначение страховой пенсии по старости в соответствии с законодательством Российской Федерации, и признанным полностью неспособными к трудовой деятельности в соответствии с медицинским заключением, выданным в порядке, установленном федеральными законами и иными нормативными правовыми актами Российской Федерации, а также военнослужащим.
Статья 54. Арест;УК РФ Статья 54. Арест 1. Арест заключается в содержании осужденного в условиях строгой изоляции от общества и устанавливается на срок от одного до шести месяцев. В случае замены обязательных работ или исправительных работ арестом он может быть назначен на срок менее одного месяца. 2. Арест не назначается лицам, не достигшим к моменту вынесения судом приговора восемнадцатилетнего возраста, а также беременным женщинам и женщинам, имеющим детей в возрасте до четырнадцати лет. 3. Военнослужащие отбывают арест нагауптвахте.
Статья 55. Содержание в дисциплинарной воинской части;УК РФ Статья 55. Содержание в дисциплинарной воинской части 1. Содержание вдисциплинарной воинской частиназначается военнослужащим, проходящим военную службу по призыву, а также военнослужащим, проходящим военную службу по контракту на должностях рядового и сержантского состава, если они на момент вынесения судом приговора не отслужили установленногозакономсрока службы по призыву. Это наказание устанавливается на срок от трех месяцев до двух лет в случаях, предусмотренных соответствующими статьямиОсобенной частинастоящего Кодекса за совершение преступлений против военной службы, а также в случаях, когда характер преступления и личность виновного свидетельствуют о возможности замены лишения свободы на срок не свыше двух лет содержанием осужденного в дисциплинарной воинской части на тот же срок. 2. При содержании в дисциплинарной воинской части вместо лишения свободы срок содержания в дисциплинарной воинской части определяется из расчета один день лишения свободы за один день содержания в дисциплинарной воинской части.
Статья 56. Лишение свободы на определенный срок;УК РФ Статья 56. Лишение свободы на определенный срок 1.Лишение свободызаключается в изоляции осужденного от общества путемнаправленияего в колонию-поселение, помещения в воспитательную колонию, лечебное исправительное учреждение, исправительную колонию общего, строгого или особого режима либо в тюрьму. Наказание в виде лишения свободы может быть назначено осужденному, совершившему впервыепреступление небольшой тяжести, только при наличии отягчающих обстоятельств, предусмотренныхстатьей 63настоящего Кодекса, за исключением преступлений, предусмотренныхчастью первой статьи 228,частью первой статьи 231истатьей 233настоящего Кодекса, или только если соответствующей статьейОсобенной частинастоящего Кодекса лишение свободы предусмотрено как единственный вид наказания. 2. Лишение свободы устанавливается на срок от двух месяцев до двадцати лет. 3. Утратила силу. - Федеральныйзаконот 08.12.2003 N 162-ФЗ. 4. За исключением случаев, предусмотренныхчастью пятойнастоящей статьи, при частичном или полном сложении сроков лишения свободы при назначении наказаний посовокупности преступлениймаксимальный срок лишения свободы не может быть более двадцати пяти лет, а посовокупности приговоров- более тридцати лет. 5. В случае совершения хотя бы одного из преступлений, предусмотренныхстатьями 205,205.1,205.2,205.3,205.4,205.5,частями третьейичетвертой статьи 206,частью четвертой статьи 210,статьей 210.1,частью четвертой статьи 211,статьями 277,278,279,353,356,357,358,360и361настоящего Кодекса, при частичном или полном сложении сроков лишения свободы при назначении наказаний по совокупности преступлений максимальный срок лишения свободы не может быть более тридцати лет, а по совокупности приговоров - более тридцати пяти лет.
Статья 57. Пожизненное лишение свободы;УК РФ Статья 57. Пожизненное лишение свободы 1. Пожизненное лишение свободы устанавливается за совершениеособо тяжких преступлений, посягающих на жизнь, а также за совершение особо тяжких преступлений против здоровья населения и общественной нравственности, общественной безопасности, основ конституционного строя и безопасности государства, половой неприкосновенности несовершеннолетних. 2. Пожизненное лишение свободыне назначаетсяженщинам, а также лицам, совершившим преступления в возрасте до восемнадцати лет, и мужчинам, достигшим к моменту вынесения судом приговора шестидесятипятилетнего возраста.
Статья 58. Назначение осужденным к лишению свободы вида исправительного учреждения;"УК РФ Статья 58. Назначение осужденным к лишению свободы вида исправительного учреждения  (в ред. Федеральногозаконаот 09.03.2001 N 25-ФЗ) (см. текст в предыдущейредакции) 1. Отбывание лишения свободы назначается: а) лицам, осужденным за преступления, совершенные по неосторожности, а также лицам, осужденным к лишению свободы за совершение умышленных преступленийнебольшойисреднейтяжести, ранее не отбывавшим лишение свободы, - в колониях-поселениях. С учетом обстоятельств совершения преступления и личности виновного суд может назначить указанным лицам отбывание наказания в исправительных колониях общего режима с указанием мотивов принятого решения; б) мужчинам, осужденным к лишению свободы за совершениетяжкихпреступлений, ранее не отбывавшим лишение свободы, а также женщинам, осужденным к лишению свободы за совершение тяжких иособо тяжких преступлений, в том числе при любом видерецидива, - в исправительных колониях общего режима; в) мужчинам, осужденным к лишению свободы за совершение особо тяжких преступлений, ранее не отбывавшим лишение свободы, а также при рецидиве илиопасном рецидивепреступлений, если осужденный ранее отбывал лишение свободы, - в исправительных колониях строгого режима; г) мужчинам, осужденным к пожизненному лишению свободы, а также приособо опасном рецидивепреступлений - в исправительных колониях особого режима. 2. Мужчинам, осужденным к лишению свободы за совершение особо тяжких преступлений на срок свыше пяти лет, за совершение преступлений, предусмотренныхстатьей 205.2,частью второй статьи 205.4,частью первой статьи 206,частью первой статьи 211,статьями 220,221,360настоящего Кодекса, а также при особо опасном рецидиве преступлений отбывание части срока наказания может бытьназначенов тюрьме, при этом суд засчитывает время содержания осужденного под стражей до вступления в законную силу обвинительного приговора в срок отбывания наказания в тюрьме. 2.1. Мужчинам, осужденным к лишению свободы за совершение преступлений, предусмотренныхстатьями 205,205.1,205.3,205.4,205.5,частями второй-четвертой статьи 206,статьей 208,частями второй-четвертой статьи 211,статьями 277-279,281-281.2,частью первой статьи 281.3,статьями 317,361настоящего Кодекса, отбывание части срока наказания назначается в тюрьме. При этом период отбывания наказания в тюрьме после зачета времени содержания лица под стражей до вступления в законную силу обвинительного приговора суда должен составлять не менее одного года. Определение вида исправительного учреждения для отбывания срока наказания, оставшегося после отбытия части срока наказания в тюрьме, осуществляется по правилам, установленным настоящей статьей. 3. Лицам, осужденным к лишению свободы, не достигшим к моменту вынесения судом приговора восемнадцатилетнего возраста, отбывание наказания назначается в воспитательных колониях. 4. Изменение вида исправительного учреждения осуществляется судом в соответствии с уголовно-исполнительнымзаконодательствомРоссийской Федерации."
Статья 59. Смертная казнь;УК РФ Статья 59. Смертная казнь 1. Смертная казнь как исключительная мера наказания может быть установлена только заособо тяжкие преступления, посягающие на жизнь. 2. Смертная казнь не назначается женщинам, а также лицам, совершившим преступления в возрасте до восемнадцати лет, и мужчинам,достигшимк моменту вынесения судом приговора шестидесятипятилетнего возраста. 2.1. Смертная казнь не назначается лицу, выданному Российской Федерации иностранным государством для уголовного преследования в соответствии с международным договором Российской Федерации или на основе принципа взаимности, если в соответствии с законодательством иностранного государства, выдавшего лицо, смертная казнь за совершенное этим лицом преступление не предусмотрена или неприменение смертной казни является условием выдачи либо смертная казнь не может быть ему назначена по иным основаниям. 3. Смертная казнь впорядкепомилования может быть заменена пожизненным лишением свободы или лишением свободы на срок двадцать пять лет.
Статья 60. Общие начала назначения наказания;УК РФ Статья 60. Общие начала назначения наказания 1. Лицу, признанному виновным в совершении преступления, назначаетсясправедливое наказаниев пределах, предусмотренных соответствующей статьейОсобенной частинастоящего Кодекса, и с учетом положенийОбщей частинастоящего Кодекса. Более строгий вид наказания из числа предусмотренных за совершенное преступление назначается только в случае, если менее строгий вид наказания не сможет обеспечить достижение целей наказания. 2. Более строгое наказание, чем предусмотрено соответствующими статьямиОсобенной частинастоящего Кодекса за совершенное преступление, может быть назначено посовокупности преступленийи посовокупности приговоровв соответствии состатьями 69и70настоящего Кодекса. Основания для назначения менее строгого наказания, чем предусмотрено соответствующей статьейОсобеннойчасти настоящего Кодекса за совершенное преступление, определяютсястатьей 64настоящего Кодекса. 3. При назначении наказания учитываются характер и степеньобщественной опасностипреступления иличностьвиновного, в том числе обстоятельства, смягчающие и отягчающие наказание, а также влияние назначенного наказания на исправление осужденного и на условия жизни его семьи.
Статья 61. Обстоятельства, смягчающие наказание;"УК РФ Статья 61. Обстоятельства, смягчающие наказание 1. Смягчающими обстоятельствами признаются: а) совершение впервые преступлениянебольшойилисреднейтяжести вследствие случайного стечения обстоятельств; б) несовершеннолетие виновного; в) беременность; г) наличие малолетнихдетейу виновного; д) совершение преступления в силу стечения тяжелых жизненных обстоятельств либо по мотиву сострадания; е) совершение преступления в результате физического или психическогопринуждениялибо в силу материальной, служебной или иной зависимости; ж) совершение преступления при нарушении условий правомерностинеобходимой обороны, задержания лица, совершившего преступление, крайней необходимости, обоснованного риска, исполнения приказа или распоряжения; з) противоправность или аморальность поведения потерпевшего, явившегося поводом для преступления; и)явка с повинной,активное способствованиераскрытию и расследованию преступления, изобличению и уголовному преследованию других соучастников преступления, розыску имущества, добытого в результате преступления; к) оказание медицинской и иной помощи потерпевшему непосредственно после совершения преступления, добровольноевозмещениеимущественного ущерба и морального вреда, причиненных в результате преступления, иныедействия, направленные на заглаживание вреда, причиненного потерпевшему. 2. При назначении наказания могут учитываться в качестве смягчающих иобстоятельства, не предусмотренныечастью первойнастоящей статьи. 3. Если смягчающее обстоятельство предусмотрено соответствующей статьейОсобенной частинастоящего Кодекса в качестве признака преступления, оно само по себе не может повторно учитываться при назначении наказания."
Статья 62. Назначение наказания при наличии смягчающих обстоятельств;"УК РФ Статья 62. Назначение наказания при наличии смягчающих обстоятельств  (в ред. Федеральногозаконаот 29.06.2009 N 141-ФЗ) (см. текст в предыдущейредакции)  1. Приналичиисмягчающих обстоятельств, предусмотренныхпунктами ""и""и (или)""к"" части первой статьи 61настоящего Кодекса, и отсутствии отягчающих обстоятельств срок или размер наказания не могут превышать двух третей максимального срока или размера наиболее строгого вида наказания, предусмотренного соответствующей статьейОсобенной частинастоящего Кодекса. 2. В случае заключения досудебногосоглашенияо сотрудничестве при наличии смягчающих обстоятельств, предусмотренныхпунктом ""и"" части первой статьи 61настоящего Кодекса, и отсутствии отягчающих обстоятельств срок или размер наказания не могут превышать половины максимального срока или размера наиболее строгого вида наказания, предусмотренного соответствующей статьейОсобенной частинастоящего Кодекса. 3. Положениячасти первойнастоящей статьи не применяются, если соответствующей статьейОсобенной частинастоящего Кодекса предусмотрены пожизненное лишение свободы или смертная казнь. В этом случае наказание назначается в пределах санкции соответствующей статьиОсобенной частинастоящего Кодекса. 4. В случае заключения досудебного соглашения о сотрудничестве, если соответствующей статьейОсобенной частинастоящего Кодекса предусмотрены пожизненное лишение свободы или смертная казнь, эти виды наказания не применяются. При этом срок или размер наказания не могут превышать двух третей максимального срока или размера наиболее строгого вида наказания в виде лишения свободы, предусмотренного соответствующей статьейОсобенной частинастоящего Кодекса. 5. Срок или размер наказания, назначаемого лицу, уголовное дело в отношении которого рассмотрено в порядке, предусмотренномглавой 40Уголовно-процессуального кодекса Российской Федерации, не может превышать две трети максимального срока или размера наиболее строгого вида наказания, предусмотренного за совершенное преступление, а в случае, указанном встатье 226.9Уголовно-процессуального кодекса Российской Федерации, - одну вторую максимального срока или размера наиболее строгого вида наказания, предусмотренного за совершенное преступление. "
Статья 63. Обстоятельства, отягчающие наказание;"УК РФ Статья 63. Обстоятельства, отягчающие наказание 1. Отягчающими обстоятельствами признаются: а)рецидивпреступлений; б) наступление тяжких последствий в результате совершения преступления; в) совершение преступления в составе группы лиц, группы лиц по предварительному сговору, организованной группы илипреступного сообщества(преступной организации); г) особо активная роль в совершении преступления; д) привлечение к совершению преступления лиц, которые страдают тяжелыми психическими расстройствами либо находятся в состоянии опьянения, а также лиц, не достигшихвозраста, с которого наступает уголовная ответственность; е) совершение преступления по мотивам политической, идеологической, расовой, национальной или религиозной ненависти или вражды либо по мотивам ненависти или вражды в отношении какой-либо социальной группы; е.1) совершение преступления из мести за правомерные действия других лиц, а также с целью скрыть другое преступление или облегчить его совершение; ж) совершение преступления в отношении лица или его близких в связи сосуществлениемданным лицом служебной деятельности или выполнением общественного долга; з) совершение преступления в отношении женщины, заведомо для виновного находящейся в состоянии беременности, а также в отношении малолетнего, другого беззащитного или беспомощного лица либо лица, находящегося в зависимости от виновного; и) совершение преступления сособой жестокостью, садизмом, издевательством, а также мучениями для потерпевшего; к) совершение преступления с использованием оружия, боевых припасов, взрывчатых веществ, взрывных или имитирующих их устройств, специально изготовленных технических средств, наркотических средств, психотропных, сильнодействующих, ядовитых и радиоактивных веществ, лекарственных и иных химико-фармакологических препаратов, а также с применением физического или психического принуждения; л) совершение преступления в условиях чрезвычайногоположения, стихийного или иного общественного бедствия, а также при массовых беспорядках, впериодмобилизацииили военногоположения, в военноевремялибо в условиях вооруженногоконфликтаили ведения боевыхдействий; м) совершение преступления с использованием доверия, оказанного виновному в силу его служебного положения или договора; н) совершение преступления сиспользованиемформенной одежды или документов представителя власти; о) утратил силу. - Федеральныйзаконот 13.06.2023 N 210-ФЗ; п) совершение преступления вотношениинесовершеннолетнего (несовершеннолетней) родителем или иным лицом, на которое возложены обязанности по содержанию, воспитанию, обучению и (или) защите прав и законных интересов несовершеннолетнего (несовершеннолетней), либо лицом, проживающим совместно с несовершеннолетним (несовершеннолетней), либо педагогическим работником или другим работником образовательной организации, медицинской организации, организации, оказывающей социальные услуги, либо иной организации, обязанным осуществлять надзор за несовершеннолетним (несовершеннолетней), либо иным лицом, осуществляющим трудовую деятельность в сфере образования, воспитания, развития несовершеннолетних, организации их отдыха и оздоровления, медицинского обеспечения, социальной защиты и социального обслуживания, в сфере детско-юношеского спорта, культуры и искусства с участием несовершеннолетних; р) совершение преступления в целях пропаганды, оправдания и поддержки терроризма; с) совершение преступления в целях пропаганды, оправдания и поддержки диверсии; т) совершение умышленного преступления с публичной демонстрацией, в том числе в средствах массовой информации или информационно-телекоммуникационных сетях (включая сеть ""Интернет""); у) совершение преступления лицом, незаконно находящимся на территории Российской Федерации. 1.1. Судья (суд), назначающий наказание, в зависимости от характера и степени общественной опасности преступления, обстоятельств его совершения и личности виновного может признать отягчающим обстоятельством совершение преступления в состоянииопьянения, вызванном употреблениемалкоголя, наркотических средств, психотропных веществ или их аналогов, новых потенциально опасных психоактивных веществ либо других одурманивающих веществ. 2. Если отягчающее обстоятельство предусмотрено соответствующей статьейОсобенной частинастоящего Кодекса в качестве признака преступления, оно само по себе не может повторно учитываться при назначении наказания."
Статья 63.1. Назначение наказания в случае нарушения досудебного соглашения о сотрудничестве;УК РФ Статья 63.1. Назначение наказания в случае нарушения досудебного соглашения о сотрудничестве  (введена Федеральнымзакономот 29.06.2009 N 141-ФЗ)  В случае если установлено, что лицом, заключившим досудебное соглашение о сотрудничестве, были предоставлены ложные сведения или сокрыты от следователя либо прокурора какие-либо иные существенные обстоятельства совершения преступления, суд назначает ему наказание в общем порядке без применения положенийчастей второй,третьейичетвертой статьи 62настоящего Кодекса, касающихся срока и размера наказания, истатьи 64настоящего Кодекса.
